DataValue,LocalDateTime,UTCOffset,SiteCode,VariableCode,CensorCode,SourceID,QualityControlLevelID,MethodDescription
20.6,01/01/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.4,01/02/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
21.8,01/03/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.9,01/04/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
19.7,01/05/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
19.4,01/06/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
19.8,01/07/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
22.1,01/08/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
22.2,01/09/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
22.2,01/10/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
22.1,01/11/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
22,01/12/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
21.5,01/13/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
22.6,01/14/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
21,01/15/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.4,01/16/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.6,01/17/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.9,01/18/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.5,01/19/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.7,01/20/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.4,01/21/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.1,01/22/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
21.6,01/23/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.7,01/24/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.5,01/25/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
19.9,01/26/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.6,01/27/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.3,01/28/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
19.6,01/29/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
18.9,01/30/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
19.8,01/31/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.2,02/01/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
20.3,02/02/1990 00:00:00,7,PHANTHIET,Tmin,,1,,Manual
