Term,Definition
Calibration Value                                                                                                                                                                                                                                              ,A value used as part of the calibration of an instrument at a particular time.
Derived Value                                                                                                                                                                                                                                                  ,Value that is directly derived from an observation or set of observations
Field Observation                                                                                                                                                                                                                                              ,Observation of a variable using a field instrument
Model Simulation Result                                                                                                                                                                                                                                        ,Values generated by a simulation model
Sample                                                                                                                                                                                                                                                         ,Observation that is the result of analyzing a sample in a laboratory
Unknown                                                                                                                                                                                                                                                        ,The value type is unknown
